gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Previsao_Churn;Probabilidade_Churn
1;0;1;0;72;1;2;0;2;2;2;2;2;2;2;1;1;4.513602992462601;8.759425389713137;0;0;0.0
0;0;0;1;17;1;0;0;0;0;0;0;2;2;0;1;3;4.185098925490565;6.9976873864827445;1;1;0.76
0;1;1;0;71;1;2;1;2;2;2;2;0;0;2;1;1;4.578312731818208;8.819953513551914;0;0;0.0
1;1;1;0;2;1;0;1;0;0;2;0;2;2;0;1;1;4.56954300834494;5.207571753241291;0;0;0.37
0;0;1;1;27;1;0;0;2;2;2;2;0;0;1;0;3;4.206928922969246;7.536603909609118;0;0;0.02
1;0;0;0;1;1;0;2;1;1;1;1;1;1;0;0;0;3.054001181677967;3.054001181677967;0;0;0.19233333333333336
1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3.834061463958434;3.834061463958434;0;0;0.34
0;0;1;1;72;1;2;1;2;2;0;2;2;0;2;0;0;4.6141299273595635;8.88912909231302;0;0;0.0
1;0;0;0;5;1;0;1;0;0;0;0;0;0;0;1;2;4.258445572902527;5.761736867916757;1;1;0.78
0;0;0;0;46;1;0;1;0;0;2;0;0;0;0;1;1;4.328098292648326;8.174505679927726;0;0;0.08
1;0;0;0;34;1;2;1;0;2;2;0;2;2;0;1;2;4.67609452432479;8.174773302525123;1;1;0.7
0;0;0;0;11;1;2;1;0;0;2;0;2;2;0;1;0;4.593603549616626;7.008866780350549;1;1;0.95
1;0;1;1;10;1;0;0;0;2;0;0;0;0;1;0;3;3.9229629454664803;6.16688736221078;0;0;0.0
0;0;1;1;70;1;2;0;2;2;0;0;2;0;2;1;1;4.251348311031766;8.491536864602452;0;0;0.0
0;0;1;1;17;1;0;2;1;1;1;1;1;1;1;0;3;3.079613757534693;6.038467400703318;0;0;0.03
0;0;0;0;63;1;2;0;2;2;2;2;2;0;2;1;1;4.392595586023115;8.489297705097483;0;0;0.03
0;0;1;0;13;1;2;0;2;2;0;2;2;0;0;1;2;4.3463994570307305;6.890049451863205;0;0;0.11
0;0;0;0;49;1;2;1;0;0;0;0;0;2;0;1;2;4.448516375942715;8.270704244607035;0;0;0.15
1;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;3;3.917010546939185;4.584967478670572;0;0;0.23
0;0;0;0;2;1;0;1;0;0;0;0;2;0;0;1;2;4.402441819416474;4.977767690470639;1;1;0.83
1;0;0;0;52;1;2;0;2;0;0;2;2;2;2;1;1;4.391357962102766;8.347306006402459;0;0;0.01
0;0;1;1;69;1;2;0;2;0;2;2;0;0;2;1;1;4.176692303570854;8.355873542493944;0;0;0.1
0;1;0;0;43;1;2;1;0;2;0;0;2;0;0;1;2;4.513602992462601;8.253162539295738;0;0;0.15
0;0;0;0;15;1;0;1;2;2;0;0;2;2;0;1;1;4.6061696863211745;7.263609886536967;1;1;0.78
0;1;1;0;25;1;2;0;2;0;0;2;2;0;0;1;1;4.255612709818223;7.4694546091209375;0;0;0.08
0;1;1;0;8;1;2;1;0;2;0;0;0;0;0;1;1;4.402441819416474;6.4525220286398515;1;1;0.79
0;1;1;1;60;1;0;0;2;2;2;2;0;2;1;1;1;4.328757705794541;8.402309698021336;0;0;0.02
1;1;0;0;18;1;2;1;0;0;0;0;2;2;0;1;2;4.569024739351738;7.4693975835734765;1;1;0.78
0;0;1;1;63;1;2;1;2;0;0;0;2;2;1;1;1;4.611649152085801;8.750239547701803;0;0;0.02
1;1;1;1;66;1;2;1;0;2;2;2;2;2;1;1;2;4.695467823968872;8.864654822837052;0;0;0.07
0;0;1;1;34;1;2;2;1;1;1;1;1;1;2;0;1;3.2561716096118976;6.7971588576401105;0;0;0.0
0;0;0;0;72;1;2;1;0;0;2;2;2;2;2;1;1;4.686750172980514;8.968867357726134;0;0;0.11
0;0;1;0;47;1;2;1;0;0;2;0;2;2;0;1;2;4.620058798481842;8.457039708596394;0;0;0.13
1;0;0;0;60;1;2;1;0;2;0;0;2;0;0;1;0;4.509760001183433;8.603682765623805;0;0;0.12
1;0;1;0;72;0;1;0;2;2;2;0;0;0;2;0;0;3.763522997109702;7.993957547573565;0;0;0.01
0;0;1;1;18;1;0;0;0;0;2;2;0;0;1;1;1;4.014579593753238;6.864952156656828;0;0;0.05
0;0;0;0;9;1;2;1;0;0;0;0;2;2;0;0;2;4.558078578454241;6.754895432337801;1;1;0.9
0;0;0;0;3;1;0;0;0;2;0;2;2;2;0;1;2;4.334672938290411;5.501666290534067;0;0;0.19
1;0;1;0;47;1;2;1;0;2;0;0;0;0;1;1;2;4.380775852772229;8.202852241207772;0;0;0.04
0;0;0;0;31;1;0;0;0;2;2;2;2;2;2;0;3;4.384523514872469;7.823325751531809;0;0;0.01
0;0;1;1;50;1;0;2;1;1;1;1;1;1;2;0;0;3.0516399054922867;6.83722551279161;0;0;0.0
1;0;0;0;10;1;0;1;2;0;2;0;0;0;0;1;3;4.392595586023115;6.789365809481915;0;0;0.02
1;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;3;3.9130225057612296;3.9130225057612296;0;0;0.14
0;0;1;1;52;1;0;2;1;1;1;1;1;1;1;1;2;3.0633909220278057;6.995445592109125;0;0;0.0
1;1;1;1;64;1;2;1;2;0;2;2;2;2;2;1;0;4.72384171570559;8.867850063029406;0;0;0.1
1;0;1;1;62;1;2;2;1;1;1;1;1;1;2;1;0;3.228826155721369;7.262348056716545;0;0;0.0
0;0;0;1;3;1;0;0;2;0;0;2;0;2;0;1;0;4.182050142641207;5.184028220145909;0;0;0.28
0;1;0;0;56;1;2;1;2;2;2;0;2;2;1;0;2;4.7140245909001735;8.722661451050438;0;0;0.21
0;0;0;0;46;1;0;0;0;0;0;0;0;2;1;0;1;4.036891987474015;7.8972407089593375;0;0;0.01
0;0;1;1;8;1;0;0;2;2;0;0;0;0;0;0;3;4.019082077721554;6.18053411808844;0;0;0.04
1;1;0;0;30;1;0;0;2;2;0;0;2;2;0;1;2;4.327438444389479;7.655532680193197;0;0;0.07
0;0;1;1;45;1;2;2;1;1;1;1;1;1;1;1;1;3.292126286607793;7.104636987107422;0;0;0.01
0;0;0;1;1;1;0;1;0;0;0;0;2;0;0;1;2;4.386392092183521;4.386392092183521;1;1;0.95
0;0;1;1;11;0;1;0;2;0;0;0;2;2;0;0;2;3.942552210462969;6.339212261646723;0;0;0.11
0;0;1;0;7;1;0;1;0;0;2;0;0;0;0;1;0;4.332705079341171;6.210399253648137;1;1;0.83
0;0;0;0;42;1;0;1;0;2;2;2;2;2;0;1;0;4.6520537718869415;8.372976340655828;0;0;0.13
0;0;1;0;49;1;0;2;1;1;1;1;1;1;2;1;0;3.0516399054922867;6.881770582010144;0;0;0.0
1;0;0;0;9;1;2;1;0;2;0;0;2;2;0;1;1;4.60816569496789;6.824101893984884;0;1;0.9
0;0;1;0;35;1;0;0;2;0;0;0;2;0;1;1;0;4.1455128487965;7.703662095843597;0;0;0.0
0;0;1;1;48;1;0;2;1;1;1;1;1;1;2;0;0;3.075005454448499;6.964135612418245;0;0;0.01
0;0;1;1;46;1;0;2;1;1;1;1;1;1;2;1;3;3.0421386463681466;6.833139485601347;0;0;0.0
1;0;1;0;29;0;1;0;0;0;0;0;2;0;0;0;3;3.548179572010801;6.917953103958583;0;0;0.08
1;0;1;1;30;1;0;1;0;2;2;0;0;0;0;0;0;4.419442836059304;7.852127994983248;0;0;0.1
1;1;0;0;1;1;0;1;0;0;0;2;0;0;0;0;2;4.3267781604434035;4.3267781604434035;0;0;0.19
1;0;1;1;66;1;2;0;2;0;2;2;2;2;2;1;3;4.442651256490317;8.65089331980408;0;0;0.0
0;0;0;0;65;1;2;1;2;2;2;0;2;2;0;1;1;4.718945200246936;8.868976189274543;0;0;0.07
1;0;0;0;72;1;2;1;0;2;2;0;2;2;2;1;0;4.623991940228679;8.917317395588213;0;0;0.04
0;0;0;0;12;1;2;1;2;0;0;0;0;0;0;1;2;4.381401439279963;6.83340881685348;1;0;0.26
1;0;1;1;71;1;2;0;2;2;0;2;0;0;1;1;1;4.217299386280878;8.465836737139407;0;0;0.0
1;0;0;0;5;1;0;2;1;1;1;1;1;1;0;0;3;3.093312601892855;4.743626929135107;1;1;0.7
1;0;0;0;52;1;0;2;1;1;1;1;1;1;2;0;0;3.091042453358316;7.010492356433249;0;0;0.01
0;1;1;0;25;1;0;1;0;2;2;0;2;2;0;1;2;4.600157644164547;7.830226869931373;1;1;0.85
1;0;0;0;1;1;0;2;1;1;1;1;1;1;0;0;3;3.054001181677967;3.054001181677967;0;0;0.2801865079365078
0;0;1;1;1;1;0;2;1;1;1;1;1;1;0;0;2;3.017982882488811;3.017982882488811;0;0;0.37833333333333335
1;0;0;0;38;1;2;1;0;0;2;2;2;0;1;0;0;4.564348191467836;8.190520779273172;0;0;0.04
0;1;1;0;66;0;1;0;0;2;2;0;2;0;1;0;0;3.840527003723076;8.015740173896912;0;0;0.05
1;0;1;0;68;1;2;1;0;2;2;2;2;2;2;1;0;4.709530201312334;8.937592887972736;1;1;0.74
1;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;3;3.2308043957334744;4.617098756853365;0;0;0.2
0;0;1;1;72;1;2;1;2;2;0;0;2;2;1;1;2;4.655387902148709;8.896184267815448;0;0;0.01
0;0;0;0;32;0;1;0;2;0;0;0;0;0;1;0;3;3.4388142452334622;6.833731918633351;0;0;0.02
1;0;0;0;43;1;2;1;0;0;0;0;2;2;1;0;3;4.557554332046428;8.274433495416885;0;0;0.05
1;0;1;1;72;1;0;2;1;1;1;1;1;1;2;0;1;3.0155349008501706;7.218360106066341;0;0;0.0
1;0;1;0;55;1;2;1;2;2;0;0;2;0;0;1;2;4.582413198865475;8.564057693163521;1;0;0.28
0;0;0;0;52;1;0;0;2;0;2;2;0;0;1;0;1;4.07668962698338;8.020681302289706;0;0;0.04
0;0;0;0;43;1;0;1;0;2;2;0;2;0;0;1;2;4.528828952731369;8.282761164332172;0;0;0.11
0;1;1;0;37;1;2;1;0;0;0;0;0;0;0;1;2;4.350277936359301;7.961771097640099;1;1;0.61
0;0;1;1;64;0;1;0;0;2;0;2;2;2;2;1;2;4.018183201256536;8.13871075463796;0;0;0.02
1;0;1;1;3;1;0;1;2;2;0;0;2;0;0;0;2;4.50920979484218;5.519058033245936;0;0;0.16
0;0;0;0;36;0;1;0;2;0;0;0;0;0;2;0;0;3.467297183366679;7.027625024832521;0;0;0.03
0;0;1;1;10;1;2;1;2;0;0;0;2;2;0;1;2;4.617592705986649;6.971340220607248;1;1;0.93
0;0;0;0;41;1;0;2;1;1;1;1;1;1;2;0;3;3.075005454448499;6.728808022827132;0;0;0.0
1;0;1;1;27;1;2;1;0;2;0;2;0;0;0;1;1;4.456670177669648;7.674431692830198;0;0;0.07
0;0;1;1;56;1;2;1;0;0;2;0;2;2;1;1;1;4.613138355637268;8.615489816441348;0;0;0.04
0;0;0;0;6;1;0;2;1;1;1;1;1;1;0;0;3;3.077312260546414;4.7340030578310595;0;0;0.04333333333333334
1;0;0;0;3;1;2;1;0;0;0;0;0;0;0;1;2;4.32280727501391;5.440467758652715;1;1;0.89
0;0;1;1;7;1;0;0;2;0;0;0;0;0;0;0;3;3.9454577815143836;5.861782877638206;0;0;0.16
0;0;1;1;4;1;0;2;1;1;1;1;1;1;0;0;3;3.084200921541599;4.157319361383489;0;0;0.13
1;0;0;0;33;1;0;1;2;0;0;2;2;0;2;1;2;4.499253960396542;8.015872254664492;0;0;0.04
0;1;0;0;27;1;2;1;0;0;2;0;0;0;0;1;2;4.370080563655481;7.66692425508408;1;0;0.35
1;0;1;0;72;1;2;2;1;1;1;1;1;1;2;1;0;3.2007118542405295;7.452953343538126;0;0;0.0
1;0;0;0;1;1;0;2;1;1;1;1;1;1;0;0;3;3.0325462466767075;3.0325462466767075;0;1;0.7456666666666666
1;1;0;0;71;0;1;0;2;2;0;0;2;2;1;1;2;4.050915004294764;8.290631304243542;0;0;0.09
0;0;0;0;13;1;2;1;0;0;0;0;0;2;0;1;2;4.465333240800292;7.103856459184463;0;0;0.26
0;0;1;1;25;0;1;0;2;2;2;0;2;2;0;1;1;4.087655574071304;7.315650764662011;1;1;0.65
1;0;0;0;67;1;0;0;0;0;0;2;0;0;2;0;0;3.942552210462969;8.089819840759192;0;0;0.02
1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;1;2;3.5959414584546674;3.5959414584546674;1;1;0.97
1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;3.814410176561146;4.409763389645481;1;1;0.82
0;0;0;0;43;1;2;2;1;1;1;1;1;1;2;1;1;3.2846635654062037;7.081036091123942;0;0;0.02
0;0;0;0;23;1;0;1;2;0;0;0;0;0;0;1;0;4.330733340286331;7.484087704950247;0;0;0.18
0;0;1;1;64;1;0;2;1;1;1;1;1;1;2;0;3;3.054001181677967;7.153638317265837;0;0;0.0
1;0;0;1;57;1;0;2;1;1;1;1;1;1;2;1;3;3.0252910757955354;7.0660829373614416;0;0;0.0
0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;3;4.268997904375876;4.268997904375876;1;1;0.57
0;1;1;1;72;1;2;0;2;2;2;2;2;2;2;1;1;4.489198009735671;8.768208686132068;0;0;0.04
0;0;0;0;8;1;2;0;2;0;0;2;0;2;0;0;2;4.27874728521988;6.33620607016968;1;1;0.77
0;0;1;0;61;1;2;1;0;2;0;0;2;2;2;1;0;4.625462889255854;8.694879019805663;0;0;0.05
1;0;0;0;64;1;2;1;2;2;0;0;0;0;1;1;1;4.446174454497633;8.573582976603518;0;0;0.01
1;1;1;0;71;1;2;2;1;1;1;1;1;1;2;0;0;3.2168738221975275;7.4714769121016245;0;0;0.0
0;0;1;1;65;1;2;1;2;2;0;2;2;0;2;1;1;4.605670061029742;8.766815077043479;0;0;0.01
1;0;0;0;3;1;0;2;1;1;1;1;1;1;1;0;3;3.0252910757955354;4.132763672126045;0;0;0.01
1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;2;3.8426729272933526;3.8426729272933526;1;1;0.96
1;0;0;1;30;1;0;0;0;2;2;0;2;0;1;0;1;4.182050142641207;7.565767388773753;0;0;0.0
1;0;1;1;15;1;0;0;0;2;2;2;0;2;0;1;3;4.255612709818223;6.977654406361804;0;0;0.04
0;0;1;1;8;1;0;0;0;0;0;2;2;2;0;1;2;4.242045918369452;6.337445008381255;0;0;0.32
1;0;0;0;7;1;2;1;0;0;0;0;2;2;0;0;3;4.564348191467836;6.486922693742851;1;1;0.93
0;0;1;1;70;1;2;1;2;2;2;0;2;2;1;1;1;4.692723082995953;8.97860375580645;0;0;0.03
1;0;1;1;62;1;0;0;2;2;2;2;2;2;2;0;2;4.467056883858457;8.559534031905763;0;0;0.0
0;0;1;1;6;1;0;2;1;1;1;1;1;1;0;0;3;3.0301337002713233;4.740574822994295;0;0;0.07
0;0;1;1;14;1;0;1;0;0;0;0;0;2;0;1;0;4.405498990859024;7.050816121822789;0;0;0.19
0;0;0;0;22;1;2;1;0;0;0;0;2;0;0;1;0;4.444414407108697;7.508211346984919;0;0;0.4
1;0;1;1;22;1;0;2;1;1;1;1;1;1;1;0;3;3.0516399054922867;6.042395275776525;0;0;0.0
1;0;1;1;16;1;0;0;2;0;2;0;2;0;2;0;3;4.178226046202803;6.932447891572509;0;0;0.03
1;0;0;0;10;1;2;2;1;1;1;1;1;1;2;0;0;3.2846635654062037;5.531807209916391;0;0;0.03
0;0;0;1;13;1;0;0;2;2;0;0;0;0;0;1;2;4.04305126783455;6.640594529751104;0;0;0.11
0;0;1;0;20;1;2;1;2;0;0;0;0;0;0;0;2;4.423648309364701;7.37359399701373;1;1;0.74
0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;2;4.258445572902527;4.9141243937154115;0;0;0.12
1;0;0;0;53;1;2;0;0;2;2;2;0;2;2;1;0;4.316153890523174;8.283809892371835;0;0;0.01
0;0;1;1;11;1;0;2;1;1;1;1;1;1;1;0;3;3.0726933146901194;5.459159891664867;0;0;0.07
1;0;1;0;69;1;0;2;1;1;1;1;1;1;2;0;3;3.039749158970765;7.2185066960178625;0;0;0.0
0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;1;0;4.275276264727001;5.6131281063880705;1;1;0.85
1;0;1;0;72;1;2;0;2;2;2;2;2;2;2;1;0;4.500365071621965;8.741208362759322;0;0;0.0
1;1;1;0;58;0;1;0;0;2;2;0;0;2;0;1;2;3.835141961092188;7.883144763243498;1;1;0.79
0;0;1;1;16;1;0;2;1;1;1;1;1;1;0;0;2;3.0633909220278057;5.775793010632473;0;0;0.04
1;0;1;0;43;1;0;1;2;0;2;2;0;0;1;1;0;4.445588116163626;8.171952625103168;0;0;0.07
0;0;1;0;2;1;2;1;0;0;2;2;2;2;0;1;2;4.657762636107262;5.496348217047172;1;1;0.89
1;0;1;0;14;1;0;0;0;2;2;2;2;2;2;0;3;4.418238016636454;7.075597514511258;0;0;0.03
0;0;1;0;53;1;0;1;0;0;2;0;2;2;1;1;0;4.562784469491653;8.517433162620845;1;1;0.68
0;0;0;0;32;1;0;2;1;1;1;1;1;1;1;0;0;3.070375816549757;6.485474577945411;0;0;0.0
0;0;1;0;34;1;2;2;1;1;1;1;1;1;0;0;2;3.246490991901174;6.660831199002524;0;0;0.03
0;1;0;0;15;1;2;1;0;0;0;0;0;0;0;1;3;4.323470185213858;7.044643531044259;1;1;0.95
0;1;0;0;7;1;0;1;2;0;0;0;0;0;0;0;0;4.349632566862877;6.223766036206958;1;0;0.28
0;0;1;1;15;1;2;1;0;2;2;0;2;2;0;1;0;4.666735541646246;7.352601343814152;0;0;0.27
1;0;1;0;61;1;0;2;1;1;1;1;1;1;1;1;1;3.070375816549757;7.133295954896068;0;0;0.0
0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;3.432372999130605;3.432372999130605;1;0;0.24
0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;3.835141961092188;3.835141961092188;0;0;0.32
1;0;0;0;8;1;2;1;0;0;0;0;0;2;0;0;0;4.448516375942715;6.497754902072211;1;1;0.86
1;0;1;1;33;1;0;0;2;0;2;0;2;2;1;0;1;4.327438444389479;7.805596867187762;0;0;0.1
0;0;0;0;13;1;0;1;0;2;2;0;0;0;0;1;2;4.385146762010125;7.014499836412125;1;1;0.88
0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;2;3.250374491927572;3.250374491927572;1;1;0.55
1;0;0;0;20;1;0;0;0;2;0;0;0;0;0;1;3;3.966511190712216;6.932301539400137;0;0;0.02
1;0;0;0;3;0;1;0;0;0;0;2;0;0;0;0;2;3.4468078929142076;4.420646205638937;0;0;0.12
0;0;0;0;13;1;0;2;1;1;1;1;1;1;1;0;2;3.027715319407042;5.504518197131935;0;0;0.0
0;0;1;0;40;1;2;0;0;2;0;0;0;0;0;0;1;4.053522567701846;7.774897782589561;0;0;0.04
1;0;1;1;43;1;2;0;2;0;0;2;0;2;1;1;1;4.289088639014612;8.06285816595844;0;0;0.01
1;0;1;0;6;1;0;1;0;2;2;0;0;2;0;1;2;4.5217885770490405;6.2766434893416445;1;1;0.92
0;0;1;1;69;1;0;2;1;1;1;1;1;1;2;0;0;3.0325462466767075;7.227226673923325;0;0;0.01
0;0;1;1;72;1;2;1;2;2;2;0;2;2;2;0;1;4.706823839714591;9.003353102230058;0;0;0.01
1;0;1;1;59;1;0;2;1;1;1;1;1;1;2;0;1;3.0106208860477417;7.084813006100993;0;0;0.02
0;0;1;0;20;1;0;1;2;2;0;2;2;0;0;1;2;4.5803650670691205;7.551002930254652;0;0;0.35
1;0;1;1;24;1;2;2;1;1;1;1;1;1;2;1;0;3.2228678461377385;6.377406988727283;0;0;0.0
1;0;0;0;59;1;2;1;0;2;2;2;2;2;0;1;2;4.721618998631338;8.782744678980025;0;0;0.18
1;0;1;1;72;1;2;1;0;2;2;2;2;2;2;1;0;4.7295977643631435;8.992513909856259;0;0;0.04
1;0;0;1;1;1;0;2;1;1;1;1;1;1;0;0;3;3.079613757534693;3.079613757534693;0;0;0.06
0;0;1;0;27;1;0;1;2;0;0;2;2;2;1;1;1;4.633757642840004;7.8943739906893216;0;0;0.08
0;0;0;0;14;1;0;1;0;2;0;2;0;0;0;1;1;4.395066248181685;7.015083856734662;0;0;0.18
1;0;1;1;71;1;2;1;2;0;2;0;2;2;2;0;2;4.668614358544626;8.910113272022107;0;0;0.02
1;0;0;1;13;1;0;1;0;0;0;0;2;0;0;1;1;4.373238128640803;6.9421083953538;0;0;0.47
1;0;0;0;44;1;0;1;0;0;0;0;0;0;0;0;1;4.246350085702971;7.992927655283545;0;0;0.23
0;0;0;0;33;1;0;1;0;2;0;2;0;0;1;1;0;4.393831680123644;7.895752530400927;0;0;0.03
1;0;1;1;72;0;1;0;2;2;2;2;0;2;2;1;1;4.033355290595671;8.338114371264128;0;0;0.0
1;0;0;0;1;1;0;1;0;0;0;0;0;2;0;0;2;4.393213824064446;4.393213824064446;1;1;1.0
0;0;0;0;19;1;0;1;2;0;2;2;2;2;0;1;2;4.678420647727684;7.568095136565964;1;1;0.8
1;0;1;0;64;1;0;1;0;2;2;2;2;2;1;1;1;4.639088404191552;8.803138757012336;0;0;0.04
1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;3.8501476017100584;4.448516375942715;1;1;0.83
0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;3.2676659890376327;3.2676659890376327;0;0;0.25
1;0;0;1;61;1;0;2;1;1;1;1;1;1;2;0;3;3.0325462466767075;7.025716076615701;0;0;0.07
0;0;1;1;29;1;0;2;1;1;1;1;1;1;1;0;2;3.044522437723423;6.293511696017657;0;0;0.0
1;1;1;0;23;1;2;1;0;0;0;0;0;2;0;0;2;4.475061500641071;7.589259947758008;0;0;0.2
0;0;1;0;57;0;1;0;2;2;2;0;2;2;0;1;0;4.09016919081162;8.142776067429795;0;0;0.09
1;0;1;1;72;0;1;0;2;2;2;2;0;0;2;0;1;3.834061463958434;8.052232823522196;0;0;0.03
1;0;1;0;66;0;1;0;2;2;2;2;2;0;2;1;0;4.053522567701846;8.24017406713271;0;0;0.0
1;0;1;1;65;1;2;0;0;2;2;2;2;2;2;1;0;4.44500143383527;8.580261882883221;0;0;0.0
0;0;0;0;8;1;0;1;0;0;0;0;2;0;0;1;0;4.394449154672439;6.4387111892311015;0;0;0.3
0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;1;2;4.264790324535862;5.596011649126543;1;1;0.88
0;0;1;0;71;1;2;2;1;1;1;1;1;1;2;0;0;3.248434627109745;7.516378894471428;0;0;0.0
1;0;1;1;1;1;0;2;1;1;1;1;1;1;1;1;2;3.054001181677967;3.054001181677967;0;0;0.07
1;0;1;0;4;1;0;0;0;0;0;2;0;0;0;0;3;3.9328055446106744;5.194899407349548;1;0;0.2
0;0;0;0;12;1;0;2;1;1;1;1;1;1;1;1;0;3.013080911888604;5.395217191287996;0;0;0.0
1;0;0;0;24;0;1;0;2;0;0;0;2;2;1;1;3;3.9435216724875173;7.162203680124759;0;0;0.05
0;0;1;1;31;1;0;0;2;0;2;2;2;2;1;1;3;4.408546844483277;7.842573315470176;0;0;0.02
0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;0;3;4.028916756899646;4.028916756899646;1;1;0.77
1;0;0;0;30;1;2;1;0;0;0;2;0;2;0;1;1;4.509760001183433;7.909911731832617;0;0;0.13
0;0;1;1;47;1;2;0;2;2;0;2;2;2;2;1;1;4.457829598089382;8.3207524260614;0;0;0.0
1;0;0;0;54;1;2;1;2;2;0;2;2;2;2;1;1;4.6913478822291435;8.658979171001915;0;0;0.26
1;0;0;0;50;1;0;1;2;2;0;2;0;2;0;1;1;4.548599834499697;8.465584057683007;0;0;0.1
1;0;0;0;1;1;0;1;2;0;0;0;0;2;0;1;3;4.449685283147696;4.449685283147696;1;1;0.89
0;0;0;0;72;1;0;2;1;1;1;1;1;1;2;0;1;3.056356895370426;7.357492423366405;0;0;0.0
